EpochTime,BuffWarning,status,Resolution
1516208891844,1,3,4
1516208891944,1,3,4
1516208892044,1,3,4
1516208892144,1,3,4
1516208892244,1,3,4
1516208892352,1,3,4
1516208892444,1,3,4
1516208892545,1,3,4
1516208892644,1,3,4
1516208892744,1,3,4
1516208892846,1,3,4
1516208892944,1,3,4
1516208893046,1,3,4
1516208893145,1,3,4
1516208893244,1,3,4
1516208893344,1,3,4
1516208893444,1,3,4
1516208893544,1,3,4
1516208893645,1,3,4
1516208893746,1,3,4
1516208893845,1,3,4
1516208893944,1,3,4
1516208894044,1,3,4
1516208894144,1,3,4
1516208894244,1,3,4
1516208894345,1,3,4
1516208894444,1,3,4
1516208894544,1,3,4
1516208894645,1,3,4
1516208894745,1,3,4
1516208894844,1,3,4
1516208894944,1,3,4
1516208895044,1,3,4
1516208895145,1,3,4
1516208895245,1,3,4
1516208895345,1,3,4
1516208895444,1,3,4
1516208895545,1,3,4
1516208895644,1,3,4
1516208895744,1,3,4
1516208895846,1,3,4
1516208895944,1,3,4
1516208896044,1,3,4
1516208896144,1,3,4
1516208896244,1,3,4
1516208896345,0,3,4
1516208896444,0,3,4
1516208896544,0,3,4
1516208896645,0,3,4
1516208896744,0,3,4
1516208896850,0,3,4
1516208896943,0,3,4
1516208897044,0,3,4
1516208897144,0,3,4
1516208897246,0,3,4
1516208897346,0,3,4
1516208897444,0,3,4
1516208897543,0,3,4
1516208897644,0,3,4
1516208897744,0,3,4
1516208897846,0,3,4
1516208897945,0,3,4
1516208898044,0,3,4
1516208898145,0,3,4
1516208898247,0,3,4
1516208898347,0,3,4
1516208898444,0,3,4
1516208898545,0,3,4
1516208898646,0,3,4
1516208898744,0,3,4
1516208898855,0,3,4
1516208898944,0,3,4
1516208899044,0,3,4
1516208899145,0,3,4
1516208899245,0,3,4
1516208899346,0,3,4
1516208899444,0,3,4
1516208899545,0,3,4
1516208899645,0,3,4
1516208899746,0,3,4
1516208899846,0,3,4
1516208899944,0,3,4
1516208900044,0,3,4
1516208900147,0,3,4
1516208900246,0,3,4
1516208900347,0,3,4
1516208900444,0,3,4
1516208900548,0,3,4
1516208900645,0,3,4
1516208900748,0,3,4
1516208900846,0,3,4
1516208900946,0,3,4
1516208901046,0,3,4
1516208901144,0,3,4
1516208901246,0,3,4
1516208901346,0,3,4
1516208901444,0,3,4
1516208901544,0,3,4
1516208901644,0,3,4
1516208901744,1,3,4
1516208901845,1,3,4
1516208901944,1,3,4
1516208902078,1,3,4
1516208902145,1,3,4
1516208902244,1,3,4
1516208902344,1,3,4
1516208902444,1,3,4
1516208902545,1,3,4
1516208902644,1,3,4
1516208902744,1,3,4
1516208902845,1,3,4
1516208902944,1,3,4
1516208903043,1,3,4
1516208903144,1,3,4
1516208903245,1,3,4
1516208903344,1,3,4
1516208903444,1,3,4
1516208903544,1,3,4
1516208903645,1,3,4
1516208903744,1,3,4
1516208903844,1,3,4
1516208903944,1,3,4
1516208904044,1,3,4
1516208904144,1,3,4
1516208904244,1,3,4
1516208904344,1,3,4
1516208904444,1,3,4
1516208904545,1,3,4
1516208904644,1,3,4
1516208904745,1,3,4
1516208904845,1,3,4
1516208904944,1,3,4
1516208905044,1,3,4
1516208905143,1,3,4
1516208905244,1,3,4
1516208905344,0,3,4
1516208905444,0,3,4
1516208905544,0,3,4
1516208905643,0,3,4
1516208905745,0,3,4
1516208905845,0,3,4
1516208905943,0,3,4
1516208906044,0,3,4
1516208906144,0,3,4
1516208906245,0,3,4
1516208906344,0,3,4
1516208906444,0,3,4
1516208906544,0,3,4
1516208906643,0,3,4
1516208906743,0,3,4
1516208906850,0,3,4
1516208906944,0,3,4
1516208907047,0,3,4
1516208907144,0,3,4
1516208907244,0,3,4
1516208907344,0,3,4
1516208907444,0,3,4
1516208907544,0,3,4
1516208907645,0,3,4
1516208907745,0,3,4
1516208907849,0,3,4
1516208907944,0,3,4
1516208908045,0,3,4
1516208908143,0,3,4
1516208908243,0,3,4
1516208908344,0,3,4
1516208908444,0,3,4
1516208908544,0,3,4
1516208908644,0,3,4
1516208908743,0,3,4
1516208908848,0,3,4
1516208908944,0,3,4
1516208909043,0,3,4
1516208909144,0,3,4
1516208909246,0,3,4
1516208909346,0,3,4
1516208909443,0,3,4
1516208909544,0,3,4
1516208909644,0,3,4
1516208909744,0,3,4
1516208909849,0,3,4
1516208909943,0,3,4
1516208910048,0,3,4
1516208910145,0,3,4
1516208910245,0,3,4
1516208910350,0,3,4
1516208910443,0,3,4
1516208910545,0,3,4
1516208910644,0,3,4
1516208910745,0,3,4
1516208910849,0,3,4
1516208910944,0,3,4
1516208911044,0,3,4
1516208911145,0,3,4
1516208911244,0,3,4
1516208911344,0,3,4
1516208911445,0,3,4
1516208911544,0,3,4
1516208911645,0,3,4
1516208911745,0,3,4
1516208911849,0,3,4
1516208911943,0,3,4
1516208912045,0,3,4
1516208912147,0,3,4
1516208912244,0,3,4
1516208912353,0,3,4
1516208912444,0,3,4
1516208912544,0,3,4
1516208912644,0,3,4
1516208912745,0,3,4
1516208912846,0,3,4
1516208912944,0,3,4
1516208913046,0,3,4
1516208913146,0,3,4
1516208913244,0,3,4
1516208913346,0,3,4
1516208913443,0,3,4
1516208913545,0,3,4
1516208913644,0,3,4
1516208913744,0,3,4
1516208913852,0,3,4
1516208913944,0,3,4
1516208914043,0,3,4
1516208914145,0,3,4
1516208914243,0,3,4
1516208914344,0,3,4
1516208914444,0,3,4
1516208914545,0,3,4
1516208914646,0,3,4
1516208914744,0,3,4
1516208914846,0,3,4
1516208914944,0,3,4
1516208915044,0,3,4
1516208915144,0,3,4
1516208915245,0,3,4
1516208915344,0,3,4
1516208915443,0,3,4
1516208915545,0,3,4
1516208915643,0,3,4
1516208915744,0,3,4
1516208915846,0,3,4
1516208915944,0,3,4
1516208916043,0,3,4
1516208916144,0,3,4
1516208916244,0,3,4
1516208916344,0,3,4
1516208916443,0,3,4
1516208916544,0,3,4
1516208916643,0,3,4
1516208916743,0,3,4
1516208916850,0,3,4
1516208916944,0,3,4
1516208917043,0,3,4
1516208917145,0,3,4
1516208917245,0,3,4
1516208917347,0,3,4
1516208917444,0,3,4
1516208917546,0,3,4
1516208917646,0,3,4
1516208917745,0,3,4
1516208917845,0,3,4
1516208917943,0,3,4
1516208918044,0,3,4
1516208918144,0,3,4
1516208918246,0,3,4
1516208918348,0,3,4
1516208918444,0,3,4
1516208918546,0,3,4
1516208918645,0,3,4
1516208918747,0,3,4
1516208918845,0,3,4
1516208918943,0,3,4
1516208919044,0,3,4
1516208919144,0,3,4
1516208919244,0,3,4
1516208919345,0,3,4
1516208919443,0,3,4
1516208919545,0,3,4
1516208919644,0,3,4
1516208919743,0,3,4
1516208919844,0,3,4
1516208919943,0,3,4
1516208920043,0,3,4
1516208920144,0,3,4
1516208920244,0,3,4
1516208920344,0,3,4
1516208920444,0,3,4
1516208920544,0,3,4
1516208920643,0,3,4
1516208920744,0,3,4
1516208920846,0,3,4
1516208920944,0,3,4
1516208921045,0,3,4
1516208921145,0,3,4
1516208921244,0,3,4
1516208921344,0,3,4
1516208921445,0,3,4
1516208921545,0,3,4
1516208921645,0,3,4
1516208921745,0,3,4
1516208921844,0,3,4
1516208921944,0,3,4
1516208922046,0,3,4
1516208922144,0,3,4
1516208922246,0,3,4
1516208922344,0,3,4
1516208922447,0,3,4
1516208922544,0,3,4
1516208922645,0,3,4
1516208922744,0,3,4
1516208922849,0,3,4
1516208922944,0,3,4
1516208923043,0,3,4
1516208923144,0,3,4
1516208923246,0,3,4
1516208923344,0,3,4
1516208923443,0,3,4
1516208923544,0,3,4
1516208923647,0,3,4
1516208923743,0,3,4
1516208923845,0,3,4
1516208923943,0,3,4
1516208924044,0,3,4
1516208924143,0,3,4
1516208924243,0,3,4
1516208924344,0,3,4
1516208924444,0,3,4
1516208924544,0,3,4
1516208924647,0,3,4
1516208924746,0,3,4
1516208924846,0,3,4
1516208924943,0,3,4
1516208925047,0,3,4
1516208925143,0,3,4
1516208925248,0,3,4
1516208925344,0,3,4
1516208925443,0,3,4
1516208925543,0,3,4
1516208925643,0,3,4
1516208925744,0,3,4
1516208925845,0,3,4
1516208925943,0,3,4
1516208926043,0,3,4
1516208926143,0,3,4
1516208926243,0,3,4
1516208926346,0,3,4
1516208926446,0,3,4
1516208926546,0,3,4
1516208926646,0,3,4
1516208926747,0,3,4
1516208926847,0,3,4
1516208926945,0,3,4
1516208927046,0,3,4
1516208927147,0,3,4
1516208927248,0,3,4
1516208927350,0,3,4
1516208927444,0,3,4
1516208927544,0,3,4
1516208927645,0,3,4
1516208927747,0,3,4
1516208927846,0,3,4
1516208927945,0,3,4
1516208928047,0,3,4
1516208928147,0,3,4
1516208928245,0,3,4
1516208928345,0,3,4
1516208928443,0,3,4
1516208928543,0,3,4
1516208928643,0,3,4
1516208928743,0,3,4
1516208928844,0,3,4
1516208928943,0,3,4
1516208929045,0,3,4
1516208929145,0,3,4
1516208929244,0,3,4
1516208929348,0,3,4
1516208929443,0,3,4
1516208929543,0,3,4
1516208929645,0,3,4
1516208929745,0,3,4
1516208929844,0,3,4
1516208929944,0,3,4
1516208930047,0,3,4
1516208930143,0,3,4
1516208930247,0,3,4
1516208930346,0,3,4
1516208930443,0,3,4
1516208930543,0,3,4
1516208930645,0,3,4
1516208930747,0,3,4
1516208930845,0,3,4
1516208930943,0,3,4
1516208931044,0,3,4
1516208931145,0,3,4
1516208931244,0,3,4
1516208931345,0,3,4
1516208931443,0,3,4
1516208931547,0,3,4
1516208931646,0,3,4
1516208931743,0,3,4
1516208931844,0,3,4
1516208931943,0,3,4
1516208932043,0,3,4
1516208932147,0,3,4
1516208932243,0,3,4
1516208932344,0,3,4
1516208932444,0,3,4
1516208932543,0,3,4
1516208932644,0,3,4
1516208932744,0,3,4
1516208932845,0,3,4
1516208932944,0,3,4
1516208933045,0,3,4
1516208933146,0,3,4
1516208933243,0,3,4
1516208933344,0,3,4
1516208933443,0,3,4
1516208933545,0,3,4
1516208933647,0,3,4
1516208933745,0,3,4
1516208933845,0,3,4
1516208933943,0,3,4
1516208934044,0,3,4
