EpochTime,BuffWarning,status,Resolution
1521585390788,1,3,3
1521585390888,1,3,3
1521585390987,1,3,3
1521585391088,1,3,3
1521585391189,1,3,3
1521585391289,1,3,3
1521585391389,1,3,3
1521585391488,1,3,3
1521585391588,1,3,3
1521585391689,1,3,3
1521585391789,1,3,3
1521585391888,1,3,3
1521585391988,1,3,3
1521585392090,1,0,3
1521585392188,1,0,3
1521585392288,1,0,3
1521585392387,1,0,3
1521585392488,1,0,3
1521585392588,1,0,3
1521585392687,1,0,3
1521585392794,1,0,3
1521585392888,1,0,3
1521585392988,1,0,3
1521585393088,1,0,3
1521585393189,1,0,3
1521585393289,1,0,3
1521585393388,1,0,3
1521585393488,1,0,3
1521585393588,1,0,3
1521585393689,1,0,3
1521585393799,1,0,3
1521585393893,1,0,3
1521585393988,1,0,3
1521585394089,1,0,3
1521585394189,1,0,3
1521585394289,1,0,3
1521585394388,1,0,3
1521585394489,1,0,3
1521585394589,1,0,3
1521585394688,1,0,3
1521585394788,1,0,3
1521585394888,1,0,3
1521585394987,1,0,3
1521585395088,1,0,3
1521585395190,1,0,3
1521585395294,1,0,3
1521585395387,1,0,3
1521585395489,1,0,3
1521585395591,1,0,3
1521585395688,1,0,3
1521585395789,1,0,3
1521585395888,1,0,3
1521585395988,1,0,3
1521585396089,1,0,3
1521585396188,1,0,3
1521585396298,1,0,3
1521585396388,1,0,3
1521585396488,1,0,3
1521585396588,1,3,3
1521585396688,1,3,3
1521585396790,1,3,3
1521585396888,1,3,3
1521585396989,1,3,3
1521585397089,1,3,3
1521585397188,1,3,3
1521585397289,1,3,3
1521585397389,1,3,3
1521585397488,1,3,3
1521585397588,1,3,3
1521585397688,1,3,3
1521585397789,1,3,2
1521585397887,1,3,2
1521585397988,1,3,2
1521585398088,1,3,2
1521585398188,1,3,2
1521585398295,1,3,2
1521585398388,1,3,2
1521585398488,1,3,2
1521585398588,1,3,2
1521585398688,1,3,2
1521585398789,1,3,2
1521585398889,1,3,2
1521585398988,1,3,2
1521585399088,1,3,2
1521585399188,1,3,2
1521585399289,1,3,2
1521585399387,1,3,2
1521585399489,1,3,2
1521585399588,1,3,2
1521585399689,1,3,2
1521585399789,1,3,2
1521585399888,1,3,2
1521585399988,1,3,2
1521585400087,1,3,2
1521585400188,1,3,2
1521585400289,1,3,2
1521585400389,1,3,2
1521585400488,1,3,2
1521585400588,1,3,2
1521585400688,1,3,2
1521585400788,1,3,2
1521585400889,1,3,2
1521585400989,1,3,2
1521585401089,1,3,2
1521585401188,1,3,2
1521585401298,1,3,2
1521585401387,1,3,2
1521585401487,1,3,2
1521585401588,1,3,2
1521585401688,1,3,2
1521585401790,1,3,2
1521585401888,1,3,2
1521585401989,1,3,2
1521585402089,1,3,2
1521585402187,1,3,2
1521585402290,1,3,2
1521585402388,1,3,2
1521585402489,1,3,2
1521585402587,1,3,2
1521585402687,1,3,2
1521585402800,1,3,2
1521585402887,1,3,2
1521585402987,1,3,2
1521585403088,1,3,2
1521585403189,1,3,2
1521585403289,1,3,2
1521585403389,1,3,2
1521585403488,1,3,2
1521585403589,1,3,2
1521585403689,1,3,2
1521585403788,1,3,2
1521585403889,1,3,2
1521585403989,1,3,2
1521585404089,1,3,2
1521585404189,1,3,2
1521585404289,1,3,2
1521585404389,1,3,2
1521585404488,1,3,2
1521585404588,1,3,2
1521585404689,1,3,2
1521585404794,1,3,2
1521585404888,1,3,2
1521585404989,1,3,2
1521585405088,1,3,2
1521585405188,1,3,2
1521585405289,1,3,2
1521585405389,1,3,2
1521585405488,1,3,2
1521585405588,1,3,2
1521585405688,1,3,2
1521585405791,1,3,2
1521585405887,1,3,2
1521585405989,1,3,2
1521585406088,1,3,2
1521585406189,1,3,2
1521585406288,1,3,2
1521585406388,1,3,2
1521585406489,1,3,2
1521585406588,1,3,2
1521585406688,1,3,2
1521585406791,1,3,2
1521585406888,1,3,2
1521585406987,1,3,2
1521585407088,1,3,2
1521585407188,1,3,2
1521585407291,1,3,3
1521585407389,1,3,3
1521585407487,1,3,3
1521585407588,1,3,3
1521585407689,1,3,3
1521585407789,1,3,3
1521585407887,1,3,3
1521585407989,1,3,3
1521585408089,1,3,3
1521585408187,1,3,3
1521585408288,1,3,3
1521585408388,1,3,3
1521585408488,1,3,3
1521585408589,1,3,3
1521585408688,1,3,3
1521585408790,1,3,3
1521585408888,1,3,3
1521585408987,1,3,3
1521585409089,1,3,3
1521585409188,1,3,3
1521585409290,1,3,3
1521585409389,1,3,3
1521585409488,1,3,3
1521585409588,1,3,3
1521585409688,1,3,3
1521585409789,1,3,3
1521585409889,1,3,3
1521585409989,1,3,3
1521585410088,1,3,3
1521585410189,1,3,3
1521585410290,1,3,3
1521585410388,1,3,3
1521585410488,1,3,3
1521585410587,1,3,3
1521585410688,1,3,3
1521585410790,1,3,3
1521585410888,1,3,3
1521585410987,1,3,3
1521585411088,1,3,3
1521585411189,1,3,3
1521585411289,1,3,3
1521585411388,1,3,3
1521585411487,1,3,3
1521585411587,1,3,3
1521585411688,1,3,3
1521585411788,1,3,3
1521585411887,1,3,3
1521585411988,1,3,3
1521585412087,1,3,3
1521585412187,1,3,3
1521585412288,1,3,3
1521585412387,1,3,3
1521585412489,1,3,3
1521585412587,1,3,3
1521585412688,1,3,3
1521585412788,1,3,3
1521585412887,1,3,3
1521585412987,1,3,3
1521585413088,1,3,3
1521585413187,1,3,3
1521585413296,1,3,3
1521585413388,1,3,3
1521585413489,1,3,3
1521585413587,1,3,3
1521585413688,1,3,3
1521585413787,1,3,3
1521585413888,1,3,3
1521585413987,1,3,3
1521585414088,1,3,3
1521585414189,1,3,3
1521585414288,1,3,3
1521585414388,1,3,3
1521585414488,1,3,3
1521585414588,1,3,3
1521585414687,1,3,3
1521585414789,1,3,3
1521585414888,1,3,3
1521585414988,1,3,3
1521585415089,1,3,3
1521585415188,1,3,3
1521585415288,1,3,3
1521585415388,1,3,3
1521585415487,1,3,3
1521585415587,1,3,3
1521585415687,1,3,3
1521585415790,1,3,3
1521585415888,1,3,3
1521585415987,1,3,3
1521585416087,1,3,3
1521585416187,1,3,3
1521585416295,1,3,3
1521585416387,1,3,3
1521585416488,1,3,3
1521585416587,1,3,3
1521585416689,1,3,3
1521585416789,0,3,3
1521585416889,0,3,3
1521585416987,0,3,3
1521585417088,0,3,3
1521585417188,0,3,3
1521585417293,0,3,3
1521585417389,0,3,3
1521585417489,0,3,3
1521585417588,0,3,3
1521585417689,0,3,3
1521585417790,0,3,3
1521585417889,0,3,3
1521585417988,0,3,3
1521585418087,0,3,3
1521585418187,0,3,3
1521585418288,0,3,3
1521585418388,0,3,3
1521585418487,0,3,3
1521585418587,0,3,3
1521585418687,0,3,3
1521585418789,0,3,3
1521585418887,0,3,3
1521585418989,0,3,3
1521585419088,0,3,3
1521585419188,0,3,3
1521585419293,0,3,3
1521585419388,0,3,3
1521585419487,0,3,3
1521585419587,0,3,3
1521585419687,0,3,3
1521585419788,0,3,3
1521585419887,0,3,3
1521585419987,0,3,3
1521585420087,0,3,3
1521585420187,0,3,3
1521585420288,0,3,3
1521585420387,0,3,3
1521585420488,0,3,3
1521585420588,0,3,3
1521585420688,0,3,3
1521585420788,0,3,3
1521585420887,0,3,3
1521585420989,0,3,3
1521585421088,0,3,3
1521585421189,0,3,3
1521585421289,0,3,3
1521585421387,0,3,3
1521585421487,0,3,3
1521585421587,0,3,3
1521585421688,0,3,3
1521585421792,0,3,3
1521585421888,0,3,3
1521585421987,0,3,3
1521585422089,0,3,3
1521585422188,0,3,3
1521585422290,1,3,3
1521585422387,1,3,3
1521585422487,1,3,3
1521585422587,1,3,3
1521585422687,1,3,3
1521585422788,1,3,3
1521585422887,1,3,3
1521585422987,1,3,3
1521585423088,1,3,3
1521585423188,1,3,3
1521585423289,1,3,3
1521585423388,1,3,3
1521585423489,1,3,3
1521585423588,1,3,3
1521585423689,1,3,3
1521585423793,1,3,3
1521585423887,1,3,3
1521585423989,1,3,3
1521585424087,1,3,3
1521585424187,1,3,3
1521585424287,1,3,3
1521585424389,1,3,3
1521585424488,1,3,3
1521585424589,1,3,3
1521585424688,1,3,3
1521585424788,1,3,3
1521585424888,1,3,3
1521585424988,1,3,3
1521585425088,1,3,3
1521585425188,1,3,3
1521585425287,1,3,3
1521585425389,1,3,3
1521585425487,1,3,3
1521585425589,1,3,3
1521585425687,1,3,3
1521585425788,1,3,3
1521585425887,1,3,3
1521585425987,1,3,3
1521585426087,1,3,3
1521585426188,1,3,3
1521585426287,1,3,3
1521585426387,1,3,3
1521585426487,1,3,3
1521585426588,1,3,3
1521585426688,1,3,3
1521585426787,0,3,3
1521585426887,0,3,3
1521585426987,0,3,3
1521585427087,0,3,3
1521585427187,0,3,3
1521585427289,0,3,3
1521585427388,0,3,3
1521585427488,0,3,3
1521585427588,0,3,3
1521585427687,0,3,3
1521585427787,0,3,3
1521585427887,0,3,3
1521585427989,0,3,3
1521585428087,0,3,3
1521585428189,0,3,3
1521585428288,0,3,3
1521585428387,0,3,3
1521585428487,0,3,3
1521585428588,0,3,3
1521585428689,0,3,3
1521585428787,0,3,3
1521585428887,0,3,3
1521585428989,0,3,3
1521585429088,0,3,3
1521585429187,0,3,3
1521585429291,0,3,3
1521585429389,0,3,3
1521585429488,0,3,3
1521585429587,0,3,3
1521585429688,0,3,3
1521585429789,0,3,3
1521585429888,0,3,3
1521585429989,0,3,3
1521585430088,0,3,3
1521585430187,0,3,3
1521585430287,0,3,3
1521585430387,0,3,3
1521585430488,0,3,3
1521585430587,0,3,3
1521585430689,0,3,3
1521585430788,0,3,3
1521585430886,0,3,3
1521585430987,0,3,3
