EpochTime,BuffWarning,status,Resolution
1525371148881,1,3,2
1525371148984,1,3,2
1525371149085,1,3,2
1525371149185,1,3,2
1525371149281,1,3,2
1525371149389,1,3,2
1525371149481,1,3,2
1525371149585,1,3,2
1525371149682,1,3,2
1525371149784,1,3,2
1525371149886,1,3,2
1525371149982,1,3,2
1525371150082,1,3,2
1525371150183,1,3,2
1525371150286,1,3,2
1525371150382,1,3,2
1525371150481,1,3,2
1525371150581,1,3,2
1525371150682,1,3,2
1525371150781,1,3,2
1525371150887,1,3,2
1525371150981,1,3,2
1525371151082,0,3,2
1525371151183,0,3,2
1525371151282,0,3,2
1525371151407,0,3,2
1525371151482,0,3,2
1525371151581,0,3,2
1525371151682,0,3,2
1525371151783,0,3,2
1525371151887,0,3,2
1525371151983,0,3,2
1525371152082,0,3,2
1525371152183,0,3,2
1525371152283,0,3,2
1525371152383,0,3,2
1525371152482,0,3,2
1525371152583,0,3,2
1525371152682,0,3,2
1525371152783,0,3,2
1525371152884,0,3,2
1525371152983,0,3,2
1525371153083,0,3,2
1525371153183,0,3,2
1525371153284,0,3,2
1525371153392,0,3,2
1525371153483,0,3,2
1525371153583,0,3,2
1525371153683,0,3,2
1525371153782,0,3,2
1525371153884,0,3,2
1525371153984,0,3,2
1525371154082,0,3,2
1525371154183,0,3,2
1525371154283,0,3,2
1525371154382,0,3,2
1525371154483,0,3,2
1525371154582,0,3,2
1525371154681,0,3,2
1525371154782,0,3,2
1525371154882,0,3,2
1525371154985,0,3,2
1525371155081,0,3,2
1525371155184,0,3,2
1525371155284,0,3,2
1525371155382,0,3,2
1525371155483,0,3,2
1525371155581,0,3,2
1525371155684,0,3,2
1525371155782,0,3,2
1525371155885,0,3,2
1525371155985,0,3,2
1525371156082,0,3,2
1525371156183,0,3,2
1525371156285,0,3,2
1525371156384,0,3,2
1525371156481,0,3,2
1525371156581,0,3,2
1525371156684,0,3,2
1525371156781,0,3,2
1525371156881,0,3,2
1525371156981,0,3,2
1525371157083,0,3,2
1525371157184,0,3,2
1525371157282,0,3,2
1525371157383,0,3,2
1525371157482,0,3,2
1525371157584,0,3,2
1525371157682,0,3,2
1525371157784,0,3,2
1525371157885,0,3,2
1525371157984,0,3,2
1525371158082,0,3,2
1525371158184,0,3,2
1525371158283,0,3,2
1525371158381,0,3,2
1525371158482,0,3,2
1525371158583,0,3,2
1525371158683,0,3,2
1525371158784,0,3,2
1525371158881,0,3,2
1525371158984,0,3,2
1525371159083,0,3,2
1525371159184,0,3,2
1525371159284,0,3,2
1525371159385,0,3,2
1525371159484,0,3,2
1525371159583,0,3,2
1525371159682,0,3,2
1525371159783,0,3,2
