EpochTime,BuffWarning,status,Resolution
1526257674786,1,3,4
1526257674888,1,3,4
1526257674986,1,3,4
1526257675087,1,3,4
1526257675186,1,3,4
1526257675287,1,3,4
1526257675387,1,3,4
1526257675487,1,3,4
1526257675586,1,3,4
1526257675685,1,3,4
1526257675785,1,3,4
1526257675888,1,3,4
1526257675985,1,3,4
1526257676087,0,3,4
1526257676186,0,3,4
1526257676286,0,3,4
1526257676387,0,3,4
1526257676486,0,3,4
1526257676587,0,3,4
1526257676688,0,3,4
1526257676786,0,3,4
1526257676887,0,3,4
1526257676985,0,3,4
1526257677086,0,3,4
1526257677188,0,3,4
1526257677286,0,3,4
1526257677386,0,3,4
1526257677486,0,3,4
1526257677586,0,3,4
1526257677687,0,3,4
1526257677787,0,3,4
1526257677887,0,3,4
1526257677986,0,3,4
1526257678087,0,3,4
1526257678186,0,3,4
1526257678286,0,3,4
1526257678388,0,3,4
1526257678485,0,3,4
1526257678586,0,3,4
1526257678686,0,3,4
1526257678786,0,3,4
1526257678887,0,3,4
1526257678986,0,3,4
1526257679087,0,3,4
1526257679186,0,3,4
1526257679386,0,3,4
1526257679486,0,3,4
1526257679586,0,3,4
1526257679686,0,3,4
1526257679789,0,3,4
1526257679886,0,3,4
1526257679987,0,3,4
1526257680087,0,3,4
1526257680187,0,3,4
1526257680294,0,3,4
1526257680387,0,3,4
1526257680487,0,3,4
1526257680587,0,3,4
1526257680686,0,3,4
1526257680886,0,3,4
1526257680986,0,3,4
1526257681086,0,3,4
1526257681186,0,3,4
1526257681386,0,3,4
1526257681486,1,3,4
1526257681587,0,3,4
1526257681687,0,3,4
1526257681886,0,3,4
1526257681985,0,3,4
1526257682086,0,3,4
1526257682187,0,3,4
1526257682289,0,3,4
1526257682385,0,3,4
1526257682486,0,3,4
1526257682586,0,3,4
1526257682687,0,3,4
1526257682787,0,3,4
1526257682886,0,3,4
1526257682988,0,3,4
1526257683085,0,3,4
1526257683187,0,3,4
1526257683288,0,3,4
1526257683485,0,3,4
1526257683586,0,3,4
1526257683686,0,3,4
1526257683787,0,3,4
1526257683886,0,3,4
1526257683985,0,3,4
1526257684085,0,3,4
1526257684187,0,3,4
1526257684288,0,3,4
1526257684386,0,3,4
1526257684486,0,3,4
1526257684585,0,3,4
1526257684687,0,3,4
1526257684787,0,3,4
1526257684886,0,3,4
1526257684986,0,3,4
1526257685087,0,3,4
1526257685186,0,3,4
1526257685286,0,3,4
1526257685386,0,3,4
1526257685486,0,3,4
1526257685585,0,3,4
1526257685686,0,3,4
1526257685793,0,3,4
1526257685885,0,3,4
1526257685986,0,3,4
1526257686086,0,3,4
1526257686187,0,3,4
1526257686287,0,3,4
1526257686387,0,3,4
1526257686485,0,1,4
1526257686587,0,1,4
1526257686687,0,1,4
1526257686786,0,1,4
1526257686886,0,1,4
1526257686987,0,1,4
1526257687087,0,1,4
1526257687186,0,1,4
1526257687287,0,1,4
1526257687385,0,1,4
1526257687485,0,1,4
1526257687587,0,1,4
1526257687687,0,1,4
1526257687787,0,1,4
1526257687887,0,1,4
1526257687987,0,1,4
1526257688086,0,1,4
1526257688185,0,1,4
1526257688286,0,1,4
1526257688386,0,1,4
1526257688486,0,1,4
1526257688587,0,1,4
1526257688685,0,1,4
1526257688787,0,1,4
1526257688887,0,1,4
1526257688986,0,1,4
1526257689086,0,1,4
1526257689186,0,1,4
1526257689287,0,1,4
1526257689387,0,1,4
1526257689486,0,1,4
1526257689585,0,1,4
1526257689686,0,1,4
1526257689791,0,1,4
1526257689887,0,1,4
1526257689986,0,1,4
1526257690086,0,1,4
1526257690185,0,1,4
1526257690386,0,1,4
1526257690485,0,1,4
1526257690587,0,1,4
1526257690685,0,1,4
1526257690793,0,1,4
1526257690885,0,1,4
1526257690985,0,1,4
1526257691087,0,1,4
1526257691186,0,1,4
1526257691286,0,1,4
1526257691385,0,1,4
1526257691486,0,1,4
1526257691585,0,1,4
1526257691686,0,1,4
1526257691793,0,1,4
1526257691885,0,1,4
1526257691985,0,1,4
1526257692086,0,1,4
1526257692186,0,1,4
1526257692293,0,1,4
1526257692385,0,1,4
1526257692486,0,1,4
1526257692586,0,1,4
1526257692686,0,1,4
1526257692786,0,1,4
1526257692887,0,1,4
1526257692987,0,1,4
1526257693087,0,1,4
1526257693186,0,1,4
1526257693287,0,1,4
1526257693386,0,1,4
1526257693486,0,1,4
1526257693585,0,1,4
1526257693686,0,1,4
1526257693787,0,2,4
1526257693886,0,2,4
1526257693986,0,2,4
1526257694087,0,2,4
1526257694187,0,2,4
1526257694287,0,2,4
1526257694386,0,2,4
1526257694487,0,2,4
1526257694585,0,2,4
1526257694687,0,2,4
1526257694786,0,2,4
1526257694885,0,2,4
1526257694985,0,2,4
1526257695087,0,2,4
1526257695187,0,2,4
1526257695286,0,2,4
1526257695386,0,2,4
1526257695487,0,2,4
1526257695585,0,2,4
1526257695687,0,2,4
1526257695785,0,2,4
1526257695887,0,2,4
1526257695985,0,2,4
1526257696086,0,2,4
1526257696186,0,2,4
1526257696285,0,2,4
1526257696385,0,2,4
1526257696485,0,2,4
1526257696585,0,2,4
1526257696686,0,2,4
1526257696785,0,2,4
1526257696886,0,2,4
1526257696986,0,2,4
1526257697085,0,2,4
1526257697186,0,2,4
1526257697285,0,2,4
1526257697387,0,2,4
1526257697485,0,2,4
1526257697585,0,2,4
1526257697686,0,2,4
1526257697786,0,2,4
1526257697886,0,2,4
1526257697986,0,2,4
1526257698086,0,2,4
1526257698186,0,2,4
1526257698286,0,2,4
1526257698385,0,2,4
1526257698486,0,2,4
1526257698587,0,2,4
1526257698687,0,2,4
1526257698789,0,2,4
1526257698886,0,2,4
1526257698986,0,2,4
1526257699086,0,2,4
1526257699186,0,2,4
1526257699287,0,2,4
1526257699386,0,2,4
1526257699486,0,2,4
1526257699586,0,2,4
1526257699687,0,2,4
1526257699786,0,2,4
1526257699886,0,2,4
1526257699986,0,2,4
1526257700085,0,2,4
1526257700186,0,2,4
1526257700286,0,2,4
