EpochTime,BuffWarning,status,Resolution
1526405753486,1,3,5
1526405753587,1,3,5
1526405753690,1,3,5
1526405753788,1,3,5
1526405753894,1,3,5
1526405753992,1,3,5
1526405754087,1,3,5
1526405754192,1,3,5
1526405754287,1,3,5
1526405754387,1,3,5
1526405754493,1,3,5
1526405754587,1,3,5
1526405754704,1,3,5
1526405754787,1,3,5
1526405754887,1,3,5
1526405754996,1,3,5
1526405755088,1,3,5
1526405755187,1,3,5
1526405755288,1,3,5
1526405755387,1,3,5
1526405755495,1,3,5
1526405755588,1,3,5
1526405755689,1,3,5
1526405755792,1,3,5
1526405755887,1,3,5
1526405756014,1,3,5
1526405756092,1,3,5
1526405756187,1,3,5
1526405756287,1,3,5
1526405756390,1,3,5
1526405756487,1,3,5
1526405756587,1,3,5
1526405756687,0,3,5
1526405756788,0,3,5
1526405756887,0,3,5
1526405756987,1,3,5
1526405757088,1,3,5
1526405757188,1,3,5
1526405757287,1,3,5
1526405757387,1,3,5
1526405757487,1,3,5
1526405757587,1,3,5
1526405757688,0,3,5
1526405757787,0,3,5
1526405757886,0,3,5
1526405758011,0,3,5
1526405758088,0,3,5
1526405758187,0,3,5
1526405758287,0,3,5
1526405758389,0,3,5
1526405758494,0,3,5
1526405758588,0,3,5
1526405758688,0,3,5
1526405758788,0,3,5
1526405758887,0,3,5
1526405758988,0,3,5
1526405759087,0,3,5
1526405759187,0,3,5
1526405759287,0,3,5
1526405759387,0,3,5
1526405759488,0,3,5
1526405759587,0,3,5
1526405759687,0,3,5
1526405759786,0,3,5
1526405759887,0,3,5
1526405759987,0,3,5
1526405760087,0,3,5
1526405760187,1,3,5
1526405760287,1,3,5
1526405760386,1,3,5
1526405760486,0,3,5
1526405760586,0,3,5
1526405760686,0,3,5
1526405760787,0,3,5
1526405760887,0,3,5
1526405760987,0,3,5
1526405761087,0,3,5
1526405761186,0,3,5
1526405761287,0,3,5
1526405761387,0,3,5
1526405761488,0,3,5
1526405761587,0,3,5
1526405761687,0,3,5
1526405761787,0,3,5
1526405761887,0,3,5
1526405761986,0,3,5
1526405762088,0,3,5
1526405762187,0,3,5
1526405762287,0,3,5
1526405762387,0,3,5
1526405762487,0,3,5
1526405762587,0,3,5
1526405762688,0,3,5
1526405762787,0,3,5
1526405762887,0,3,5
1526405762987,0,3,5
1526405763088,0,3,5
1526405763187,0,3,5
1526405763286,0,3,5
1526405763387,0,3,5
1526405763486,0,3,5
1526405763589,0,3,5
1526405763687,0,3,5
1526405763787,0,3,5
1526405763887,0,3,5
1526405763987,0,3,5
1526405764087,0,3,5
1526405764186,0,3,5
1526405764288,0,3,5
1526405764388,0,3,5
1526405764492,0,3,5
1526405764587,0,3,5
1526405764686,0,3,5
1526405764786,0,3,5
1526405764887,0,3,5
1526405764991,0,3,5
1526405765087,0,3,5
1526405765186,0,3,5
1526405765288,0,3,5
1526405765387,0,3,5
1526405765488,0,3,5
1526405765587,0,3,5
1526405765689,0,3,5
1526405765787,0,3,5
1526405765887,0,3,5
1526405765995,0,3,5
1526405766087,0,3,5
1526405766188,0,3,5
1526405766287,0,3,5
1526405766387,0,3,5
1526405766486,0,3,5
1526405766587,0,3,5
1526405766688,0,3,5
1526405766787,0,3,5
1526405766887,0,3,5
1526405766987,0,3,5
1526405767087,0,3,5
1526405767187,0,3,5
1526405767288,0,3,5
1526405767387,0,3,5
1526405767487,0,3,5
1526405767587,0,3,5
1526405767687,0,3,5
1526405767787,0,3,5
1526405767886,0,3,5
1526405767986,0,3,5
1526405768088,0,3,5
1526405768188,0,3,5
1526405768287,0,3,5
1526405768387,0,3,5
1526405768487,0,3,5
1526405768587,0,3,5
1526405768688,0,3,5
1526405768787,0,3,5
1526405768886,0,3,5
1526405768986,0,3,5
1526405769087,0,3,5
1526405769186,0,3,5
1526405769287,0,3,5
1526405769387,0,3,5
1526405769487,0,3,5
1526405769587,0,3,5
1526405769687,0,3,5
1526405769787,0,3,5
1526405769887,0,3,5
1526405769987,0,3,5
1526405770087,0,3,5
1526405770187,0,3,5
1526405770287,0,3,5
1526405770387,0,3,5
1526405770487,0,3,5
1526405770587,0,3,5
1526405770686,0,3,5
1526405770786,0,3,5
1526405770889,0,3,5
1526405770987,0,3,5
1526405771087,0,3,5
1526405771187,0,3,5
1526405771286,0,3,5
1526405771387,0,3,5
1526405771490,0,3,5
1526405771587,0,3,5
1526405771686,0,3,5
1526405771788,0,3,5
1526405771887,0,3,5
1526405771987,0,3,5
1526405772089,0,3,5
1526405772188,0,3,5
1526405772287,0,3,5
1526405772388,0,3,5
1526405772489,0,3,5
1526405772586,0,3,5
1526405772686,0,3,5
1526405772786,0,3,5
1526405772887,0,3,5
1526405772991,0,3,5
1526405773086,0,3,5
